movement_id,item_id,item_name,sku,movement_datetime,from_location_id,from_location_name,to_location_id,to_location_name,quantity_moved,unit_of_measure,trigger_type,trigger_details,performed_by,inventory_level_before,inventory_level_after,movement_notes
MV0300,IT1300,Premium Bath Soap Bar,BAR-PS-1300,2023-09-05T09:17:22,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,1200,bars,restock,Restock request #RS-9031,emp_2104,8000,3300,Bulk restock for fall promotions.
MV0301,IT1301,Multipurpose Cleaner Bottle,CLNR-BTL-1301,2023-09-06T14:01:37,LOC-003-W,West Distribution Center,LOC-004-R,Outlet Store Parkside,42,bottles,order_fulfillment,Order #OF-5432,emp_1952,900,42,Urgent customer order for cleaning supplies.
MV0302,IT1302,Ceramic Flower Vase,VASE-CM-1302,2023-09-07T16:42:09,LOC-002-B,Retail Store Downtown,LOC-005-RTN,Returns Processing,1,vase,loss,Breakage - shelf incident,emp_1833,9,0,"Vase damaged, written off inventory."
MV0303,IT1303,Chocolate Snack Pack,CHOC-PK-1303,2023-09-08T11:23:44,LOC-001-W,Central Warehouse,LOC-004-R,Outlet Store Parkside,25,packs,order_fulfillment,Order #OF-5433,emp_2215,300,25,Customer order for snack packs.
MV0304,IT1304,Glass Water Jar,GL-JAR-1304,2023-09-09T10:13:56,LOC-003-W,West Distribution Center,LOC-002-B,Retail Store Downtown,500,jars,restock,Restock request #RS-9032,emp_2345,2300,900,Bulk restock for store opening.
MV0305,IT1305,Laundry Detergent Box,LD-BOX-1305,2023-09-10T15:30:17,LOC-001-W,Central Warehouse,LOC-005-RTN,Returns Processing,1,box,loss,Damaged box during transit,emp_1876,44,0,Inventory written off due to damage.
MV0306,IT1306,Organic Soap Bar,,2023-09-11T12:45:55,LOC-004-R,Outlet Store Parkside,LOC-005-RTN,Returns Processing,1,bar,loss,Expired product removal,emp_2399,2,0,SKU not assigned; item written off (loss).
MV0307,IT1307,Stainless Steel Can,CAN-SS-1307,2023-09-12T08:09:34,LOC-004-R,Outlet Store Parkside,LOC-005-RTN,Returns Processing,1,can,loss,Lost during shelf audit,emp_2158,9,0,Can lost during inventory check.
MV0308,IT1308,Sample Prototype Widget,PRT-WG-1308,2023-09-13T10:27:01,LOC-003-W,West Distribution Center,LOC-006-P,Partner Store Eastside,4,units,other,Prototype delivery,emp_2277,20,4,Special project: prototype widgets.
MV0309,IT1309,Bulk Paper Towels Pack,PT-PK-1309,2023-09-13T13:55:18,LOC-003-W,West Distribution Center,LOC-007-W,Regional Warehouse North,300,packs,transfer,Inter-warehouse transfer,emp_1987,1800,500,Inventory shuffle for regional balance.
MV0310,IT1310,Citrus Hand Soap Bottle,HS-CIT-1310,2023-09-14T11:15:31,LOC-007-W,Regional Warehouse North,LOC-002-B,Retail Store Downtown,900,bottles,restock,Restock request #RS-9033,emp_1999,5000,1200,Restock for hygiene promotion week.
MV0311,IT1311,Small Utility Widget,WGT-UT-1311,2023-09-15T09:28:47,LOC-006-P,Partner Store Eastside,LOC-003-W,West Distribution Center,30,units,transfer,Returned unsold inventory,emp_1920,45,30,Transfer of unsold widgets back to warehouse.
MV0312,IT1312,Holiday Special Soap Bar,HSB-1312,2023-09-16T13:02:12,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,1000,bars,restock,Restock request #RS-9034,sys_bot_01,10000,4000,Automated restock for holiday season.
MV0313,IT1313,Premium Glass Jar,GL-JAR-1313,2023-09-17T10:44:35,LOC-001-W,Central Warehouse,LOC-006-P,Partner Store Eastside,25,jars,order_fulfillment,Order #OF-5434,emp_1888,400,25,Customer order for glass jars.
MV0314,IT1314,Deluxe Laundry Detergent,LUX-LD-1314,2023-09-18T16:02:59,LOC-007-W,Regional Warehouse North,LOC-004-R,Outlet Store Parkside,700,boxes,restock,Restock request #RS-9035,emp_2042,5400,800,Large restock for laundry event.
MV0315,IT1315,All-Purpose Cleaner Bottle,APC-BTL-1315,2023-09-19T12:19:21,LOC-004-R,Outlet Store Parkside,LOC-007-W,Regional Warehouse North,15,bottles,transfer,Excess stock transfer,emp_2111,60,15,Transferring excess stock to warehouse.
MV0316,IT1316,Eco Dish Soap Bottle,DS-ECO-1316,2023-09-20T09:05:10,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,1100,bottles,restock,Restock request #RS-9036,emp_2187,15000,4200,Bulk restock for sustainable promotion.
MV0317,IT1317,High-Capacity Pallet,PAL-HC-1317,2023-09-20T15:48:39,LOC-003-W,West Distribution Center,LOC-007-W,Regional Warehouse North,50,pallets,transfer,Bulk inventory transfer,emp_2244,320,50,Bulk pallet transfer for seasonal storage.
MV0318,IT1318,Spring Edition Soap Bar,SPR-SB-1318,2023-09-21T11:59:33,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,1500,bars,restock,Restock request #RS-9037,emp_1862,9000,5000,Restock for spring edition launch.
MV0319,IT1319,Seasonal Snack Pack,SSN-PK-1319,2023-09-21T17:13:22,LOC-003-W,West Distribution Center,LOC-004-R,Outlet Store Parkside,25,packs,order_fulfillment,Order #OF-5435,emp_1931,210,25,Order fulfillment for snack packs.
MV0320,IT1320,Basic Widget Unit,WGT-BSC-1320,2023-09-22T08:33:41,LOC-006-P,Partner Store Eastside,LOC-003-W,West Distribution Center,15,units,transfer,Return of unsold widgets,emp_2163,22,15,Returned unsold widget units.
MV0321,IT1321,Special Edition Soap Bar,SPEC-SB-1321,2023-09-23T10:12:27,LOC-001-W,Central Warehouse,LOC-004-R,Outlet Store Parkside,1000,bars,restock,Restock request #RS-9038,emp_2171,8500,2200,Restock for special edition launch.
MV0322,IT1322,Ceramic Mug Box,MUG-BOX-1322,2023-09-23T17:50:09,LOC-002-B,Retail Store Downtown,LOC-005-RTN,Returns Processing,1,box,loss,Damaged during checkout,emp_2208,6,0,"Box damaged, written off inventory."
MV0323,IT1323,Premium Bath Soap Bar,BAR-PS-1323,2023-09-24T10:25:48,LOC-007-W,Regional Warehouse North,LOC-002-B,Retail Store Downtown,1200,bars,restock,Restock request #RS-9039,emp_2201,12000,5900,Bulk restock for bath essentials.
MV0324,IT1324,Specialty Soap Bar,,2023-09-24T13:32:13,LOC-004-R,Outlet Store Parkside,LOC-005-RTN,Returns Processing,1,bar,loss,Shelf breakage,emp_2122,4,0,SKU not assigned; item written off (loss).
MV0325,IT1325,Bulk Paper Towels Pack,PT-PK-1325,2023-09-25T08:12:51,LOC-003-W,West Distribution Center,LOC-007-W,Regional Warehouse North,350,packs,transfer,Inter-warehouse transfer,emp_2176,1900,350,Inventory shuffle for towels.
MV0326,IT1326,Holiday Special Soap Bar,HSB-1326,2023-09-25T15:29:34,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,1100,bars,restock,Restock request #RS-9040,sys_bot_01,11000,4700,Automated restock for holiday event.
MV0327,IT1327,Premium Glass Jar,GL-JAR-1327,2023-09-26T13:13:27,LOC-001-W,Central Warehouse,LOC-006-P,Partner Store Eastside,28,jars,order_fulfillment,Order #OF-5436,emp_2231,380,28,Customer order for glass jars.
MV0328,IT1328,Deluxe Laundry Detergent,LUX-LD-1328,2023-09-27T10:14:22,LOC-007-W,Regional Warehouse North,LOC-004-R,Outlet Store Parkside,800,boxes,restock,Restock request #RS-9041,emp_2089,6000,1200,Large restock for laundry event.
MV0329,IT1329,All-Purpose Cleaner Bottle,APC-BTL-1329,2023-09-27T14:28:54,LOC-004-R,Outlet Store Parkside,LOC-007-W,Regional Warehouse North,18,bottles,transfer,Overstock transfer,emp_2150,70,18,Transferring overstock bottles.
MV0330,IT1330,Eco Dish Soap Bottle,DS-ECO-1330,2023-09-28T11:25:10,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,1200,bottles,restock,Restock request #RS-9042,emp_2039,16000,5400,Bulk restock for eco campaign.
MV0331,IT1331,High-Capacity Pallet,PAL-HC-1331,2023-09-28T14:42:54,LOC-003-W,West Distribution Center,LOC-007-W,Regional Warehouse North,60,pallets,transfer,Bulk transfer for seasonal demand,emp_2279,350,60,Bulk transfer of high-capacity pallets.
MV0332,IT1332,Audit Widget Inventory,AUD-WGT-1332,2023-09-29T09:08:45,LOC-001-W,Central Warehouse,LOC-003-W,West Distribution Center,500,units,audit,,sys_bot_01,3000,3500,Audit adjustment: 500 units added by automation.
MV0333,IT1333,Spring Edition Soap Bar,SPR-SB-1333,2023-09-29T13:39:18,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,1200,bars,restock,Restock request #RS-9043,emp_2068,9500,5700,Restock of spring edition soap bars.
MV0334,IT1334,Seasonal Snack Pack,SSN-PK-1334,2023-09-30T09:41:59,LOC-003-W,West Distribution Center,LOC-004-R,Outlet Store Parkside,32,packs,order_fulfillment,,emp_2044,240,32,Order fulfillment for seasonal packs.
MV0335,IT1335,Basic Widget Unit,WGT-BSC-1335,2023-09-30T13:19:47,LOC-006-P,Partner Store Eastside,LOC-003-W,West Distribution Center,18,units,transfer,Return of unsold widgets,,30,18,Returned unsold widget units.
MV0336,IT1336,Special Edition Soap Bar,SPEC-SB-1336,2023-10-01T10:02:11,LOC-001-W,Central Warehouse,LOC-004-R,Outlet Store Parkside,1300,bars,restock,Restock request #RS-9044,emp_1913,9000,3200,Restock for special edition event.
MV0337,IT1337,Ceramic Mug Box,MUG-BOX-1337,2023-10-01T14:32:23,LOC-002-B,Retail Store Downtown,LOC-005-RTN,Returns Processing,1,box,loss,Broken during restock,emp_2022,7,0,"Box broken, written off inventory."
MV0338,IT1338,Premium Bath Soap Bar,BAR-PS-1338,2023-10-02T09:19:37,LOC-007-W,Regional Warehouse North,LOC-002-B,Retail Store Downtown,1300,bars,restock,Restock request #RS-9045,emp_1945,10000,3500,Bulk restock for bath essentials.
MV0339,IT1339,Specialty Soap Bar,,2023-10-02T13:22:44,LOC-004-R,Outlet Store Parkside,LOC-005-RTN,Returns Processing,1,bar,loss,Shelf breakage,emp_2292,5,0,SKU not assigned; item written off (loss).
MV0340,IT1340,Bulk Paper Towels Pack,PT-PK-1340,2023-10-03T09:07:56,LOC-003-W,West Distribution Center,LOC-007-W,Regional Warehouse North,400,packs,transfer,Inter-warehouse transfer,emp_2125,2000,400,Inventory shuffle for towels.
MV0341,IT1341,Holiday Special Soap Bar,HSB-1341,2023-10-03T15:26:19,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,1200,bars,restock,Restock request #RS-9046,sys_bot_01,12000,5200,Automated restock for holiday event.
MV0342,IT1342,Premium Glass Jar,GL-JAR-1342,2023-10-04T10:42:27,LOC-001-W,Central Warehouse,LOC-006-P,Partner Store Eastside,30,jars,order_fulfillment,Order #OF-5437,emp_2076,390,30,Customer order for glass jars.
MV0343,IT1343,Deluxe Laundry Detergent,LUX-LD-1343,2023-10-04T14:07:53,LOC-007-W,Regional Warehouse North,LOC-004-R,Outlet Store Parkside,900,boxes,restock,Restock request #RS-9047,emp_2159,6500,1400,Large restock for laundry event.
MV0344,IT1344,All-Purpose Cleaner Bottle,APC-BTL-1344,2023-10-05T13:38:09,LOC-004-R,Outlet Store Parkside,LOC-007-W,Regional Warehouse North,20,bottles,transfer,Overstock transfer,emp_1995,80,20,Transferring overstock bottles.
MV0345,IT1345,Eco Dish Soap Bottle,DS-ECO-1345,2023-10-05T15:19:43,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,1300,bottles,restock,Restock request #RS-9048,emp_2011,17000,6700,Bulk restock for eco campaign.
MV0346,IT1346,High-Capacity Pallet,PAL-HC-1346,2023-10-06T09:44:20,LOC-003-W,West Distribution Center,LOC-007-W,Regional Warehouse North,65,pallets,transfer,Bulk transfer for seasonal demand,emp_1941,370,65,Bulk transfer of high-capacity pallets.
MV0347,IT1347,Audit Widget Inventory,AUD-WGT-1347,2023-10-06T14:31:17,LOC-001-W,Central Warehouse,LOC-003-W,West Distribution Center,600,units,audit,,sys_bot_01,3500,4100,Audit adjustment: 600 units added by automation.
MV0348,IT1348,Spring Edition Soap Bar,SPR-SB-1348,2023-10-07T09:53:30,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,1300,bars,restock,Restock request #RS-9049,emp_2126,10000,7000,Restock of spring edition soap bars.
MV0349,IT1349,Seasonal Snack Pack,SSN-PK-1349,2023-10-07T13:37:02,LOC-003-W,West Distribution Center,LOC-004-R,Outlet Store Parkside,40,packs,order_fulfillment,,emp_1986,250,40,
MV0151,IT1009,Glass Jar Small,JAR-SML-001,2024-06-23T09:12:36,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,250,pieces,restock,Restock request 06/2024,emp_1029,3700,3950,Restock for summer display window
MV0152,IT1012,Soap Lavender Bars,SOAP-LAV-002,2024-06-23T10:05:02,LOC-001-W,Central Warehouse,LOC-003-O,Outlet Store West,1200,bars,restock,Restock request 06/2024,emp_1034,4300,5500,Bulk restock for outlet summer sale
MV0153,IT1001,Hand Sanitizer Bottle,HS-500ML-01,2024-06-23T11:21:45,LOC-001-W,Central Warehouse,LOC-005-R,Regional Store North,35,bottles,order_fulfillment,Order #48219,emp_1015,1500,1465,Customer order for local business
MV0154,IT1020,Canvas Tote Bag,TOTE-2024-06,2024-06-23T12:03:58,LOC-008-P,Partner Fulfillment,LOC-002-B,Retail Store Downtown,1,units,order_fulfillment,Order #48220,emp_1007,15,14,Urgent gift order - one unit only
MV0155,IT1015,Ceramic Vase Blue,CER-VASE-03,2024-06-23T13:46:29,LOC-002-B,Retail Store Downtown,LOC-009-RP,Returns Processing,1,vase,loss,Damage logged #921,emp_1022,7,0,Vase broken during display change
MV0156,IT1006,Cotton Kitchen Towel,KTOWEL-2024,2024-06-24T08:26:15,LOC-001-W,Central Warehouse,LOC-004-R,Retail Store East,450,pieces,restock,Restock request 06/2024,emp_1040,2200,2650,Restock for kitchen section promo
MV0157,IT1011,Tea Mug Large,,2024-06-24T09:11:44,LOC-001-W,Central Warehouse,LOC-007-O,Outlet Store South,1,units,order_fulfillment,Order #48221,emp_1008,8,7,SKU not assigned for new mug stock
MV0158,IT1021,Sample Pack Pro,SMP-PACK-PR,2024-06-24T10:17:18,LOC-001-W,Central Warehouse,LOC-010-WS,Warehouse Satellite,25,packs,other,Special project June,emp_1042,140,115,Sample distribution for product launch
MV0159,IT1003,Organic Face Cream Jar,FACECRM-ORG,2024-06-24T11:32:53,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,500,jars,restock,Restock request 06/2024,emp_1012,2500,3000,Restock for skincare promotion
MV0160,IT1014,Decorative Candle Box,CAND-BOX-18,2024-06-24T12:07:19,LOC-002-B,Retail Store Downtown,LOC-009-RP,Returns Processing,1,box,loss,Loss event #184,emp_1011,4,0,Box damaged during customer handling
MV0161,IT1002,Organic Soap Bar,BAR-SOAP-ORG,2024-06-24T13:48:23,LOC-003-O,Outlet Store West,LOC-001-W,Central Warehouse,200,bars,transfer,Inventory balance June,emp_1010,800,600,Outlet to warehouse transfer
MV0162,IT1004,Travel Bottle Set,TBS-SET-101,2024-06-25T09:12:54,LOC-001-W,Central Warehouse,LOC-004-R,Retail Store East,10,units,order_fulfillment,Order #48222,emp_1044,75,65,Customer order for travel event
MV0163,IT1018,Bamboo Toothbrush Pack,BAM-TOOTH-03,2024-06-25T10:28:11,LOC-001-W,Central Warehouse,LOC-003-O,Outlet Store West,100,packs,restock,Restock request 06/2024,emp_1013,600,700,Restock for eco-products display
MV0164,IT1019,Shower Gel Bottle,SHWR-GEL-05,2024-06-25T11:33:27,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,1,bottle,order_fulfillment,Order #48223,emp_1045,200,199,Edge case: single bottle for urgent order
MV0165,IT1017,Wooden Spoon Set,WOODSPN-SET,2024-06-25T12:29:44,LOC-001-W,Central Warehouse,LOC-006-P,Outlet Store North,20,units,transfer,Stock shuffle June,emp_1041,100,80,Stock shuffle for kitchenware section
MV0166,IT1005,Reusable Water Bottle,RWB-ORG-003,2024-06-25T13:53:01,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,800,bottles,restock,Restock request 06/2024,emp_1033,2100,2900,Restock due to high demand in summer
MV0167,IT1022,Prototype Pack Alpha,PROTO-ALPHA,2024-06-25T14:26:35,LOC-010-WS,Warehouse Satellite,LOC-001-W,Central Warehouse,12,packs,other,,emp_1027,35,23,Special movement for prototype evaluation
MV0168,IT1008,Mini Candle Set,MIN-CAND-07,2024-06-25T15:12:32,LOC-001-W,Central Warehouse,LOC-004-R,Retail Store East,48,packs,restock,Restock request 06/2024,emp_1026,180,228,Restock for candle promotion
MV0169,IT1016,Decorative Plant Can,PLANT-CAN03,2024-06-25T16:11:37,LOC-004-R,Retail Store East,LOC-009-RP,Returns Processing,1,can,loss,,emp_1006,6,0,Plant can damaged by staff
MV0170,IT1023,Limited Edition Box,LIMIT-BOX24,2024-06-26T09:32:58,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,1,box,order_fulfillment,Order #48225,emp_1048,9,8,Order for local collector
MV0171,IT1007,Travel Pouch Large,POUCH-TRVL-L,2024-06-26T10:06:14,LOC-001-W,Central Warehouse,LOC-003-O,Outlet Store West,90,units,restock,Restock request 06/2024,emp_1047,480,570,Restock for travel gear promo
MV0172,IT1013,Ceramic Plate Set,PLATE-SET-04,2024-06-26T11:41:08,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,300,sets,restock,Restock request 06/2024,emp_1046,800,1100,Ceramic sets restocked for display
MV0173,IT1010,Recycled Paper Notebook,NOTE-RP-2024,2024-06-26T12:37:25,LOC-001-W,Central Warehouse,LOC-006-P,Outlet Store North,16,units,order_fulfillment,,emp_1039,90,74,Small order for local school
MV0174,IT1024,Inventory Adjustment Unit,INV-ADJ-01,2024-06-26T13:44:18,LOC-001-W,Central Warehouse,LOC-010-WS,Warehouse Satellite,50,unit,audit,Audit ref #20240626,sys_bot_01,450,500,Automated audit adjustment - positive
MV0175,IT1009,Glass Jar Small,JAR-SML-001,2024-06-26T14:40:55,LOC-002-B,Retail Store Downtown,LOC-001-W,Central Warehouse,1,pieces,audit,,emp_1012,30,29,Inventory audit: single jar removed
MV0176,IT1015,Ceramic Vase Blue,CER-VASE-03,2024-06-26T15:38:02,LOC-003-O,Outlet Store West,LOC-001-W,Central Warehouse,2,vases,transfer,Transfer for display,emp_1043,14,12,Transfer for central store display
MV0177,IT1003,Organic Face Cream Jar,FACECRM-ORG,2024-06-27T09:59:21,LOC-002-B,Retail Store Downtown,LOC-009-RP,Returns Processing,1,jar,loss,Loss event #185,emp_1025,3,0,Jar returned due to defective lid
MV0178,IT1001,Hand Sanitizer Bottle,HS-500ML-01,2024-06-27T11:14:32,LOC-006-P,Outlet Store North,LOC-001-W,Central Warehouse,30,bottles,transfer,,emp_1049,120,90,Return transfer for unsold sanitizer
MV0179,IT1014,Decorative Candle Box,CAND-BOX-18,2024-06-27T12:45:16,LOC-001-W,Central Warehouse,LOC-003-O,Outlet Store West,25,boxes,restock,Restock request 06/2024,emp_1023,100,125,Restock for candle box promotion
MV0180,IT1012,Soap Lavender Bars,SOAP-LAV-002,2024-06-27T13:24:08,LOC-002-B,Retail Store Downtown,LOC-003-O,Outlet Store West,40,bars,transfer,Stock shuffle promo,emp_1016,70,30,Stock shuffle for lavender display
MV0181,IT1018,Bamboo Toothbrush Pack,BAM-TOOTH-03,2024-06-27T14:39:42,LOC-004-R,Retail Store East,LOC-009-RP,Returns Processing,1,pack,loss,,emp_1038,12,0,Pack damaged during restock
MV0182,IT1025,Audit Adjustment Pro,AUD-PRO-24,2024-06-27T15:17:30,LOC-001-W,Central Warehouse,LOC-010-WS,Warehouse Satellite,200,units,audit,Audit event 20240627,sys_bot_01,1200,1400,Automated audit: positive adjustment
MV0183,IT1006,Cotton Kitchen Towel,KTOWEL-2024,2024-06-27T16:22:48,LOC-003-O,Outlet Store West,LOC-004-R,Retail Store East,17,pieces,transfer,Transfer for kitchen section,emp_1032,50,33,Transfer for kitchen section restock
MV0184,IT1002,Organic Soap Bar,BAR-SOAP-ORG,2024-06-28T09:02:33,LOC-001-W,Central Warehouse,LOC-007-O,Outlet Store South,800,bars,restock,Restock request 06/2024,emp_1041,3500,4300,Bulk restock for outlet summer sale
MV0185,IT1021,Sample Pack Pro,SMP-PACK-PR,2024-06-28T10:15:44,LOC-010-WS,Warehouse Satellite,LOC-001-W,Central Warehouse,1,pack,order_fulfillment,Order #48228,,7,6,Automated fulfillment for sample
MV0186,IT1017,Wooden Spoon Set,WOODSPN-SET,2024-06-28T11:09:16,LOC-001-W,Central Warehouse,LOC-003-O,Outlet Store West,45,sets,transfer,Transfer for inventory balance,emp_1009,110,65,Inventory balance adjustment
MV0187,IT1024,Inventory Adjustment Unit,INV-ADJ-01,2024-06-28T12:56:32,LOC-010-WS,Warehouse Satellite,LOC-001-W,Central Warehouse,100,unit,audit,,sys_bot_01,1800,1700,Automated audit: negative adjustment
MV0188,IT1011,Tea Mug Large,,2024-06-28T13:41:29,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,1,units,order_fulfillment,Order #48229,emp_1040,5,4,SKU not assigned for new mug stock
MV0189,IT1016,Decorative Plant Can,PLANT-CAN03,2024-06-28T14:28:44,LOC-004-R,Retail Store East,LOC-009-RP,Returns Processing,1,can,loss,Loss event #186,emp_1042,7,0,Edge case: single plant can breakage
MV0190,IT1025,Audit Adjustment Pro,AUD-PRO-24,2024-06-28T15:41:53,LOC-001-W,Central Warehouse,LOC-003-O,Outlet Store West,78,units,transfer,Transfer for audit,emp_1031,350,272,Transfer for audit adjustment
MV0191,IT1022,Prototype Pack Alpha,PROTO-ALPHA,2024-06-29T09:18:07,LOC-001-W,Central Warehouse,LOC-010-WS,Warehouse Satellite,5,packs,other,Special prototype test,emp_1018,15,10,Prototype evaluation for new release
MV0192,IT1005,Reusable Water Bottle,RWB-ORG-003,2024-06-29T10:54:22,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,1,bottle,order_fulfillment,Order #48230,emp_1006,12,11,Customer order for local business
MV0193,IT1008,Mini Candle Set,MIN-CAND-07,2024-06-29T11:32:09,LOC-003-O,Outlet Store West,LOC-007-O,Outlet Store South,1,packs,order_fulfillment,,emp_1030,2,1,Edge case: single pack for sale
MV0194,IT1013,Ceramic Plate Set,PLATE-SET-04,2024-06-29T12:09:47,LOC-003-O,Outlet Store West,LOC-002-B,Retail Store Downtown,20,sets,transfer,Inventory balance June,emp_1045,150,130,Transfer for plate set display
MV0195,IT1019,Shower Gel Bottle,SHWR-GEL-05,2024-06-29T13:54:38,LOC-002-B,Retail Store Downtown,LOC-009-RP,Returns Processing,1,bottle,loss,,emp_1012,10,0,Bottle returned - defective cap
MV0196,IT1010,Recycled Paper Notebook,NOTE-RP-2024,2024-06-29T14:33:21,LOC-001-W,Central Warehouse,LOC-003-O,Outlet Store West,22,units,order_fulfillment,Order #48231,emp_1036,110,88,Order for local conference
MV0197,IT1014,Decorative Candle Box,CAND-BOX-18,2024-06-29T15:11:14,LOC-003-O,Outlet Store West,LOC-001-W,Central Warehouse,3,boxes,transfer,,emp_1048,8,5,Return transfer for unsold boxes
MV0198,IT1012,Soap Lavender Bars,SOAP-LAV-002,2024-06-29T16:47:39,LOC-001-W,Central Warehouse,LOC-004-R,Retail Store East,300,bars,restock,Restock request 06/2024,emp_1017,1600,1900,Bulk restock for summer soap sale
MV0199,IT1007,Travel Pouch Large,POUCH-TRVL-L,2024-06-30T09:13:31,LOC-003-O,Outlet Store West,LOC-001-W,Central Warehouse,1,units,order_fulfillment,Order #48232,emp_1049,14,13,Single pouch order for travel
MV0200,IT1023,Limited Edition Box,LIMIT-BOX24,2024-06-30T10:22:16,LOC-001-W,Central Warehouse,LOC-002-B,Retail Store Downtown,1,box,order_fulfillment,,emp_1035,5,4,Order for collector - edge case